path	added	removed	stage	status	evidence
.bazelrc	1	1	P6	pending	
.github/assets/spinecodex-app-ui-preview.gif	-	-	P6	pending	
.github/assets/spinecodex-loop-zh-cn.webp	-	-	P6	pending	
.github/assets/spinecodex-loop.webp	-	-	P6	pending	
.github/assets/spinecodex-tree.svg	1	0	P6	pending	
.github/assets/spinecodex-tui.gif	-	-	P6	pending	
.github/scripts/test_spine_product_docs.py	81	0	P6	pending	
.github/scripts/test_spine_release_workflow.py	155	0	P6	pending	
.github/workflows/spine-npm-rehearsal.yml	120	0	P6	pending	
.github/workflows/spine-release.yml	782	0	P6	pending	
.gitignore	4	0	P6	pending	
CITATION.cff	20	0	P6	pending	
README.md	288	50	P6	pending	
README.zh-CN.md	283	0	P6	pending	
codex-cli/bin/codex.js	11	11	P6	pending	
codex-cli/package.json	21	5	P6	pending	
codex-cli/scripts/README.md	20	2	P6	pending	
codex-cli/scripts/build_npm_package.py	17	19	P6	pending	
codex-rs/Cargo.lock	162	135	P6	pending	
codex-rs/Cargo.toml	8	1	P6	pending	
codex-rs/app-server-daemon/Cargo.toml	1	0	P5	pending	
codex-rs/app-server-daemon/README.md	9	9	P5	pending	
codex-rs/app-server-daemon/src/lib.rs	7	6	P5	pending	
codex-rs/app-server-protocol/schema/json/ClientRequest.json	61	0	P5	pending	
codex-rs/app-server-protocol/schema/json/ServerNotification.json	308	0	P5	pending	
codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.schemas.json	390	0	P5	pending	
codex-rs/app-server-protocol/schema/json/codex_app_server_protocol.v2.schemas.json	390	0	P5	pending	
codex-rs/app-server-protocol/schema/json/v2/SpineFeedbackUploadParams.json	41	0	P5	pending	
codex-rs/app-server-protocol/schema/json/v2/SpineFeedbackUploadResponse.json	13	0	P5	pending	
codex-rs/app-server-protocol/schema/json/v2/SpineSpawnProgressUpdatedNotification.json	74	0	P5	pending	
codex-rs/app-server-protocol/schema/json/v2/SpineTreeUpdatedNotification.json	183	0	P5	pending	
codex-rs/app-server-protocol/schema/json/v2/ThreadRolledBackNotification.json	13	0	P5	pending	
codex-rs/app-server-protocol/schema/precomputed/app-server-exports-experimental.json.zst	-	-	P5	pending	
codex-rs/app-server-protocol/schema/precomputed/app-server-exports-stable.json.zst	-	-	P5	pending	
codex-rs/app-server-protocol/schema/typescript/ClientRequest.ts	2	1	P5	pending	
codex-rs/app-server-protocol/schema/typescript/ServerNotification.ts	4	1	P5	pending	
codex-rs/app-server-protocol/schema/typescript/ServerNotificationEnvelope.ts	4	1	P5	pending	
codex-rs/app-server-protocol/schema/typescript/SpineTreeNodeKind.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/SpineTreeNodeStatus.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/index.ts	2	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineFeedbackScreenshot.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineFeedbackUploadParams.ts	6	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineFeedbackUploadResponse.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineNodeContextPressure.ts	6	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineNodeContextPressureProblem.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineSpawnOutcome.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineSpawnProgressUpdatedNotification.ts	9	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineSpawnTaskProgress.ts	6	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineTreeNode.ts	9	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/SpineTreeUpdatedNotification.ts	6	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/ThreadRolledBackNotification.ts	5	0	P5	pending	
codex-rs/app-server-protocol/schema/typescript/v2/index.ts	11	0	P5	pending	
codex-rs/app-server-protocol/src/protocol/common.rs	11	0	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/common_tests.rs	115	0	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/event_mapping.rs	194	0	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/thread_history.rs	3	1	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/thread_history_projection.rs	3	1	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/v2/feedback.rs	25	0	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/v2/tests.rs	29	2	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/v2/thread.rs	23	0	P1-P2	pending	
codex-rs/app-server-protocol/src/protocol/v2/turn.rs	100	0	P1-P2	pending	
codex-rs/app-server-test-client/README.md	1	1	P5	pending	
